,ID,BookTitle,Price,Rate,Category
0,1,It's Only the Himalayas,45.17,2,Travel
1,2,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel
2,3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel
3,4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,Travel
4,5,Under the Tuscan Sun,37.33,3,Travel
5,6,A Summer In Europe,44.34,2,Travel
6,7,The Great Railway Bazaar,30.54,1,Travel
7,8,A Year in Provence (Provence #1),56.88,4,Travel
8,9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Travel
9,10,Neither Here nor There: Travels in Europe,38.95,3,Travel
10,11,"1,000 Places to See Before You Die",26.08,5,Travel
11,12,Sharp Objects,47.82,4,Mystery
12,13,"In a Dark, Dark Wood",19.63,3,Mystery
13,14,The Past Never Ends,56.5,4,Mystery
14,15,A Murder in Time,16.64,3,Mystery
15,16,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery
16,18,That Darkness (Gardiner and Renner #1),13.92,3,Mystery
17,19,Tastes Like Fear (DI Marnie Rome #3),10.69,3,Mystery
18,20,A Time of Torment (Charlie Parker #14),48.35,5,Mystery
19,21,A Study in Scarlet (Sherlock Holmes #1),16.73,3,Mystery
20,22,Poisonous (Max Revere Novels #3),26.8,3,Mystery
21,23,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery
22,24,Most Wanted,35.28,3,Mystery
23,25,Hide Away (Eve Duncan #20),11.84,3,Mystery
24,26,Boar Island (Anna Pigeon #19),59.48,3,Mystery
25,27,The Widow,27.26,2,Mystery
26,28,Playing with Fire,13.71,3,Mystery
27,29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery
28,30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery
29,31,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery
30,32,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Mystery
31,33,In the Woods (Dublin Murder Squad #1),38.38,2,Mystery
32,34,The Silkworm (Cormoran Strike #2),23.05,5,Mystery
33,35,The Exiled,43.45,3,Mystery
34,36,The Cuckoo's Calling (Cormoran Strike #1),19.21,3,Mystery
35,37,Extreme Prey (Lucas Davenport #26),25.4,3,Mystery
36,38,Career of Evil (Cormoran Strike #3),24.72,2,Mystery
37,39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Mystery
38,40,The Girl You Lost,12.29,3,Mystery
39,41,The Girl In The Ice (DCI Erika Foster #1),15.85,3,Mystery
40,42,Blood Defense (Samantha Brinkman #1),20.3,3,Mystery
41,45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction
42,46,A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction
43,47,The House by the Lake,36.95,1,Historical Fiction
44,48,Mrs. Houdini,30.25,5,Historical Fiction
45,49,The Marriage of Opposites,28.08,4,Historical Fiction
46,50,Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction
47,51,"Love, Lies and Spies",20.55,2,Historical Fiction
48,52,A Paris Apartment,39.01,4,Historical Fiction
49,53,Lilac Girls,17.28,3,Historical Fiction
50,54,The Constant Princess (The Tudor Court #1),16.62,3,Historical Fiction
51,55,The Invention of Wings,37.34,1,Historical Fiction
52,56,World Without End (The Pillars of the Earth #2),32.97,4,Historical Fiction
53,57,The Passion of Dolssa,28.32,5,Historical Fiction
54,58,Girl With a Pearl Earring,26.77,1,Historical Fiction
55,59,Voyager (Outlander #3),21.07,5,Historical Fiction
56,60,The Red Tent,35.66,5,Historical Fiction
57,62,The Guernsey Literary and Potato Peel Pie Society,49.53,1,Historical Fiction
58,63,Girl in the Blue Coat,46.83,2,Historical Fiction
59,64,Between Shades of Gray,20.79,5,Historical Fiction
60,65,While You Were Mine,41.32,5,Historical Fiction
